hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,520,permit,tcp,10.3.228.0 0.0.0.255,215.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,530,permit,tcp,10.3.228.0 0.0.0.255,215.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,540,permit,tcp,10.3.228.0 0.0.0.255,216.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,550,permit,tcp,10.3.228.0 0.0.0.255,216.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,560,permit,tcp,10.3.228.0 0.0.0.255,211.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,570,permit,tcp,10.3.228.0 0.0.0.255,211.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,580,permit,tcp,10.3.228.0 0.0.0.255,212.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,590,permit,tcp,10.3.228.0 0.0.0.255,212.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,600,permit,tcp,10.3.228.0 0.0.0.255,213.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,610,permit,tcp,10.3.228.0 0.0.0.255,213.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,620,permit,tcp,10.3.228.0 0.0.0.255,214.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,630,permit,tcp,10.3.228.0 0.0.0.255,214.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,640,permit,tcp,10.3.228.0 0.0.0.255,215.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,650,permit,tcp,10.3.228.0 0.0.0.255,215.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,660,permit,tcp,10.3.228.0 0.0.0.255,216.66.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,670,permit,tcp,10.3.228.0 0.0.0.255,216.66.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,680,permit,tcp,10.3.228.0 0.0.0.255,1.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,690,permit,tcp,10.3.228.0 0.0.0.255,1.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,700,permit,tcp,10.3.228.0 0.0.0.255,2.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,710,permit,tcp,10.3.228.0 0.0.0.255,2.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,720,permit,tcp,10.3.228.0 0.0.0.255,3.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,730,permit,tcp,10.3.228.0 0.0.0.255,3.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,740,permit,tcp,10.3.228.0 0.0.0.255,4.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,750,permit,tcp,10.3.228.0 0.0.0.255,4.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,760,permit,tcp,10.3.228.0 0.0.0.255,5.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,770,permit,tcp,10.3.228.0 0.0.0.255,5.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,780,permit,tcp,10.3.228.0 0.0.0.255,6.216.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,790,permit,tcp,10.3.228.0 0.0.0.255,6.216.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,800,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,810,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,820,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,8080
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,830,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,7072
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,840,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,22
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,850,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.235,45454
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,860,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.239,45454
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,870,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.241,45454
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,880,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,890,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,900,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,8080
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,910,deny,ip,10.3.228.0 0.0.0.255,168.0.0 0.0.255.255,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,920,deny,ip,10.3.228.0 0.0.0.255,2.16.0.0 0.15.255.255,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,930,deny,ip,10.3.228.0 0.0.0.255,0.0.0.0 0.255.255.255,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,940,permit,tcp,10.3.228.0 0.0.0.255,any,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,950,permit,udp,10.3.228.0 0.0.0.255,any,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,960,permit,ip,10.3.228.0 0.0.0.255,any,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,970,deny,ip,any,any,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,10,permit,udp,host 10.3.88.3,host 224.0.0.2,1985
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,20,permit,tcp,10.3.88.128 0.0.0.127,host 192.0.2.1,443
