hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-gsh-fs01,FROM-GSH-WIFI,Extended,100,permit,ip,10.3.88.128 0.0.0.127,host 213.120.94.19,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,110,permit,ip,10.3.88.128 0.0.0.127,host 217.33.148.47,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,120,permit,ip,10.3.88.128 0.0.0.127,host 80.26.83.68,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,130,permit,ip,10.3.88.128 0.0.0.127,host 80.35.100.214,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,140,permit,ip,10.3.88.128 0.0.0.127,host 95.131.184.37,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,150,deny,ip,10.3.88.128 0.0.0.127,168.0.0 0.0.255.255,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,160,deny,ip,10.3.88.128 0.0.0.127,2.16.0.0 0.15.255.255,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,170,deny,ip,10.3.88.128 0.0.0.127,0.0.0.0 0.255.255.255,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,180,permit,tcp,10.3.88.128 0.0.0.127,any,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,190,permit,udp,10.3.88.128 0.0.0.127,any,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,200,permit,ip,10.3.88.128 0.0.0.127,any,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,210,deny,ip,any,any,
uk-gsh-fs01,acl-wifi-testing,Extended,10,permit,udp,any,host 10.1.34.10,domain
uk-gsh-fs01,acl-wifi-testing,Extended,20,permit,udp,any,host 10.64.72.10,domain
uk-gsh-fs01,acl-wifi-testing,Extended,30,permit,udp,host 10.1.103.10,host 10.1.34.10,bootps
uk-gsh-fs01,acl-wifi-testing,Extended,40,permit,udp,host 10.1.103.10,host 10.64.72.10,bootps
uk-gsh-fs01,acl-wifi-testing,Extended,50,permit,ip,any,host 10.1.28.22,
uk-gsh-fs01,acl-wifi-testing,Extended,60,permit,icmp,any,host 10.1.28.22,
uk-gsh-fs01,acl-wifi-testing,Extended,70,deny,ip,any,any,
uk-gsh-fs01,1,Standard,10,permit,,10.120.163.210,,,
uk-gsh-fs01,1,Standard,20,permit,,10.1.74.66,,,
uk-gsh-fs01,1,Standard,30,permit,,10.112.12.126,,,
uk-gsh-fs01,1,Standard,40,permit,,10.112.12.125,,,
uk-gsh-fs01,1,Standard,50,permit,,10.180.163.18,,,
uk-gsh-fs01,1,Standard,60,permit,,10.120.163.151,,,
uk-gsh-fs01,1,Standard,70,permit,,10.210.163.60,,,
uk-gsh-fs01,1,Standard,80,permit,,10.120.163.152,,,
uk-gsh-fs01,1,Standard,90,permit,,10.1.74.29,,,
uk-gsh-fs01,1,Standard,100,permit,,10.112.13.17,,,
uk-gsh-fs01,1,Standard,110,permit,,10.1.74.48,,,
uk-gsh-fs01,1,Standard,120,permit,,10.1.74.57,,,
uk-gsh-fs01,1,Standard,130,permit,,10.1.74.61,,,
uk-gsh-fs01,1,Standard,140,permit,,10.120.163.123,,,
uk-gsh-fs01,1,Standard,150,permit,,10.120.163.122,,,
uk-gsh-fs01,1,Standard,160,permit,,10.120.195.31,,,
uk-gsh-fs01,1,Standard,170,permit,,10.120.143.70,,,
uk-gsh-fs01,1,Standard,180,permit,,10.1.74.128,,,
uk-gsh-fs01,1,Standard,190,permit,,10.180.142.230,,,
uk-gsh-fs01,1,Standard,200,permit,,10.120.163.37,,,
uk-gsh-fs01,1,Standard,210,permit,,10.1.82.64 0.0.0.31,,,
uk-gsh-fs01,1,Standard,220,permit,,10.1.22.0 0.0.0.255,,,
uk-gsh-fs01,1,Standard,230,permit,,192.168.2.0 0.0.1.255,,,
uk-gsh-fs01,1,Standard,240,permit,,10.210.141.40 0.0.0.7,,,
uk-gsh-fs01,1,Standard,250,permit,,10.180.141.40 0.0.0.7,,,
uk-gsh-fs01,1,Standard,260,permit,,10.120.141.40 0.0.0.7,,,
uk-gsh-fs01,1,Standard,270,deny,,any log,,,
uk-gsh-fs01,5,Standard,10,permit,,194.74.144.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,20,permit,,194.102.6.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,30,permit,,194.102.7.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,40,permit,,194.102.8.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,50,permit,,194.102.9.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,60,permit,,62.239.34.0 0.0.0.255,,,
uk-gsh-fs01,5,Standard,70,permit,,62.239.35.0 0.0.0.255,,,
uk-gsh-fs01,6,Standard,10,deny,,any,,,
uk-gsh-fs01,10,Standard,10,permit,,10.120.163.210,,,
uk-gsh-fs01,10,Standard,20,permit,,10.112.12.126,,,
uk-gsh-fs01,10,Standard,30,permit,,10.112.12.125,,,
uk-gsh-fs01,10,Standard,40,permit,,10.120.163.123,,,
uk-gsh-fs01,10,Standard,50,permit,,10.120.163.122,,,
uk-gsh-fs01,10,Standard,60,permit,,10.120.163.59,,,
uk-gsh-fs01,10,Standard,70,permit,,10.110.163.59,,,
uk-gsh-fs01,11,Standard,10,permit,,10.112.12.126,,,
uk-gsh-fs01,11,Standard,20,permit,,10.112.12.125,,,
uk-gsh-fs01,11,Standard,30,permit,,10.120.136.140,,,
uk-gsh-fs01,11,Standard,40,permit,,10.120.163.123,,,
uk-gsh-fs01,11,Standard,50,permit,,10.120.163.122,,,
uk-gsh-fs01,11,Standard,60,permit,,10.50.3.140,,,
uk-gsh-fs01,11,Standard,70,deny,,any log,,,
uk-gsh-fs01,19,Standard,10,permit,,172.16.41.192 0.0.0.31,,,
uk-gsh-fs01,19,Standard,20,permit,,10.1.82.64 0.0.0.31,,,
uk-gsh-fs01,22,Standard,10,permit,,10.112.12.119,,,
uk-gsh-fs01,22,Standard,20,permit,,10.210.143.80,,,
uk-gsh-fs01,22,Standard,30,permit,,10.120.143.80,,,
uk-gsh-fs01,22,Standard,40,permit,,10.180.142.232,,,
uk-gsh-fs01,100,Extended,10,deny,ip,10.17.5.0 0.0.0.255,0.3.0.0 0.0.255.255,
uk-gsh-fs01,100,Extended,20,permit,ip,any,any,
