Samman,Y,LBO,KCOM,10.92.26.37,10.92.27.37,83.100.139.78/22,83.100.139.78,wh-r_lbo-samman,10.96.129.37,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_samman,10.96.1.98,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.96/27,10.160.242.96/27,10.161.242.96/27,10.162.242.96/27,10.163.242.96/27,10.164.242.96/27,10.165.242.96/27,10.166.242.96/27,10.167.242.96/27,,,
Shannon St (Used To Be Stillorgan Ireland),Y,LBO,BT,10.92.26.26,10.92.27.26,77.86.17.30/22,77.86.17.30,wh-r_lbo-shannon,10.96.129.26,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_shannon,10.96.5.98,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.5.96/27,10.160.241.128/27,10.161.241.128/27,10.162.241.128/27,10.163.241.128/27,10.164.241.128/27,10.165.241.128/27,10.166.241.128/27,10.167.241.128/27,,,
Spring Bank,Y,LBO,KCOM,10.92.26.18,10.92.27.18,83.100.135.230/22,83.100.135.230,wh-r_lbo-springbank,10.96.129.18,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_springbank,10.96.1.130,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.128/27,10.160.240.192/27,10.161.240.192/27,10.162.240.192/27,10.163.240.192/27,10.164.240.192/27,10.165.240.192/27,10.166.240.192/27,10.167.240.192/27,,,
St Aubin,Y,LBO,BT,10.92.26.44,10.92.27.44,212.9.27.24/24,212.9.27.24,wh-r_lbo-staubin,10.96.129.44,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_staubin,10.96.7.162,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.7.160/27,10.160.243.64/27,10.161.243.64/27,10.162.243.64/27,10.163.243.64/27,10.164.243.64/27,10.165.243.64/27,10.166.243.64/27,10.167.243.64/27,,,
Statue,Y,LBO,BT,10.92.26.12,10.92.27.12,77.86.0.82/22,77.86.0.82,wh-r_lbo-statue,10.96.129.12,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_statue,10.96.0.98,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.0.96/27,10.160.240.0/27,10.161.240.0/27,10.162.240.0/27,10.163.240.0/27,10.164.240.0/27,10.165.240.0/27,10.166.240.0/27,10.167.240.0/27,,,
Sutton,Y,LBO,KCOM,10.92.26.24,10.92.27.24,83.100.156.34/22,83.100.156.34,wh-r_lbo-sutton,10.96.129.24,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_sutton,10.96.2.162,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.2.160/27,10.160.241.96/27,10.161.241.96/27,10.162.241.96/27,10.163.241.96/27,10.164.241.96/27,10.165.241.96/27,10.166.241.96/27,10.167.241.96/27,,,
West Hull,Y,LBO,KCOM,10.92.26.19,10.92.27.19,83.100.156.110/22,83.100.156.110,wh-r_lbo-westhull,10.96.129.19,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_westhull,10.96.1.162,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.160/27,10.160.240.224/27,10.161.240.224/27,10.162.240.224/27,10.163.240.224/27,10.164.240.224/27,10.165.240.224/27,10.166.240.224/27,10.167.240.224/27,,,
West Park,Y,LBO,KCOM,10.92.26.27,10.92.27.27,83.100.156.114/22,83.100.156.114,wh-r_lbo-westpark,10.96.129.27,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_westpark,10.96.2.226,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.2.224/27,10.160.241.160/27,10.161.241.160/27,10.162.241.160/27,10.163.241.160/27,10.164.241.160/27,10.165.241.160/27,10.166.241.160/27,10.167.241.160/27,,,
Aintree Unit 1 Aldaniti Bar,Y,RACECOURSE,TT,10.92.26.6,10.92.27.6,DYNAMIC,DYNAMIC,wh-r_rc-aintree_01,10.96.129.6,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-aintree_01,10.96.14.194,WS-C2960X-24PS-L,"15.2(3r)E1, RELEASE SOFTWARE (fc1)",10.96.14.192/27,10.160.248.224/27,10.161.248.224/27,10.162.248.224/27,10.163.248.224/27,10.164.248.224/27,10.165.248.224/27,10.166.248.224/27,10.167.248.224/27,,,
Aintree Unit 2 Irish Bar,Y,RACECOURSE,TT,10.92.26.7,10.92.27.7,DYNAMIC,DYNAMIC,wh-r_rc-aintree_02,10.96.129.7,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-aintree_02,10.96.14.226,WS-C2960X-24PS-L,"15.0(2a)EX5, RELEASE SOFTWARE (fc3)",10.96.14.224/27,10.160.249.0/27,10.161.249.0/27,10.162.249.0/27,10.163.249.0/27,10.164.249.0/27,10.165.249.0/27,10.166.249.0/27,10.167.249.0/27,,,
